;kingdom;phylum;class;order;family;species;iNatClass;first_level;second_level;third_level;fourth_level;fifth_level;observations_per_species;second_level_taxonomic_rank;third_level_taxonomic_rank;fourth_level_taxonomic_rank;fifth_level_taxonomic_rank;Observations;Average_observations_per_species_for_the_family
1;Animalia;Chordata;Amphibia;Anura;Ascaphidae;Ascaphus montanus;Amphibians;Amphibians;Anura;Ascaphidae;0;0;8;Order;Family;NA;NA;224;112
2;Animalia;Chordata;Amphibia;Anura;Ascaphidae;Ascaphus truei;Amphibians;Amphibians;Anura;Ascaphidae;0;0;216;Order;Family;NA;NA;224;112
3;Animalia;Chordata;Amphibia;Anura;Bufonidae;Anaxyrus americanus;Amphibians;Amphibians;Anura;Bufonidae;0;0;31898;Order;Family;NA;NA;40297;8059
4;Animalia;Chordata;Amphibia;Anura;Bufonidae;Anaxyrus boreas;Amphibians;Amphibians;Anura;Bufonidae;0;0;6899;Order;Family;NA;NA;40297;8059
5;Animalia;Chordata;Amphibia;Anura;Bufonidae;Anaxyrus cognatus;Amphibians;Amphibians;Anura;Bufonidae;0;0;126;Order;Family;NA;NA;40297;8059
6;Animalia;Chordata;Amphibia;Anura;Bufonidae;Anaxyrus fowleri;Amphibians;Amphibians;Anura;Bufonidae;0;0;387;Order;Family;NA;NA;40297;8059
7;Animalia;Chordata;Amphibia;Anura;Bufonidae;Anaxyrus hemiophrys;Amphibians;Amphibians;Anura;Bufonidae;0;0;987;Order;Family;NA;NA;40297;8059
8;Animalia;Chordata;Amphibia;Anura;Hylidae;Acris blanchardi;Amphibians;Amphibians;Anura;Hylidae;0;0;4;Order;Family;NA;NA;36941;5277
9;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyla chrysoscelis;Amphibians;Amphibians;Anura;Hylidae;0;0;42;Order;Family;NA;NA;36941;5277
10;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyla versicolor;Amphibians;Amphibians;Anura;Hylidae;0;0;11668;Order;Family;NA;NA;36941;5277
11;Animalia;Chordata;Amphibia;Anura;Hylidae;Pseudacris crucifer;Amphibians;Amphibians;Anura;Hylidae;0;0;13580;Order;Family;NA;NA;36941;5277
12;Animalia;Chordata;Amphibia;Anura;Hylidae;Pseudacris maculata;Amphibians;Amphibians;Anura;Hylidae;0;0;2746;Order;Family;NA;NA;36941;5277
13;Animalia;Chordata;Amphibia;Anura;Hylidae;Pseudacris regilla;Amphibians;Amphibians;Anura;Hylidae;0;0;7102;Order;Family;NA;NA;36941;5277
